"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015"
"04000","Arizona","6","SA51","52","...","Population (persons) 1/",690000,714000,756000,785000,842000,894000,933000,987000,1053000,1125000,1193000,1261000,1321000,1407000,1471000,1521000,1556000,1584000,1614000,1646000,1682000,1737000,1794912,1896108,2008847,2125281,2224342,2286348,2347976,2427310,2517852,2638582,2737774,2810108,2889860,2968924,3067134,3183539,3308261,3437103,3535183,3622184,3684097,3788576,3915740,4065440,4245089,4432499,4586940,4736990,4883342,5023823,5160586,5273477,5396255,5510364,5652404,5839077,6029141,6167681,6280362,6343154,6411999,6472867,6556236,6634997,6731484,6829397
"04000","Arizona","6","SA51","53","...","Per capita disposable personal income (dollars) 2/",1242,1251,1294,1526,1590,1611,1607,1663,1747,1788,1794,1859,1923,1978,2027,2063,2200,2294,2441,2592,2888,3208,3550,3886,4162,4590,4914,5256,5658,6107,6887,7684,8560,9443,9764,10536,11580,12316,13019,13530,14254,14886,15321,15682,16249,16824,17637,18366,19036,19956,21180,21882,23213,23943,24830,25795,27364,29006,31062,32043,32528,31488,31470,32421,33495,33132,34142,35033
"05000","Arkansas","5","SA51","51","...","Disposable personal income (thousands of dollars)",1529473,1443263,1545153,1738594,1803288,1807509,1783027,1951398,2003164,2069298,2152168,2343926,2361214,2570957,2719642,2881329,3170049,3328265,3657053,3877757,4147689,4589776,5071808,5714047,6424083,7573194,8395838,9423878,10260022,11444971,13262215,14421575,15484328,17541736,18341534,19739205,22131788,23521711,24787792,25650034,27575259,29502916,30989250,32832164,35877863,37658080,39805824,42214894,44782176,46699786,49435929,51569452,54213345,57152604,59256661,63356520,67556677,70462110,75332759,79923713,83904879,84046078,85704762,90727442,97544913,97764079,101260141,104807818
"05000","Arkansas","5","SA51","52","...","Population (persons) 1/",1825000,1844000,1908000,1901000,1838000,1780000,1734000,1725000,1704000,1733000,1726000,1756000,1789000,1806000,1853000,1875000,1897000,1894000,1899000,1901000,1902000,1913000,1930077,1972028,2018116,2058491,2100385,2158291,2168688,2207228,2241019,2269115,2288738,2293204,2294254,2305766,2319767,2327046,2331988,2342357,2342655,2346354,2356586,2383144,2415984,2456303,2494019,2535399,2572109,2601090,2626289,2651860,2678588,2691571,2705927,2724816,2749686,2781097,2821761,2848650,2874554,2896843,2922297,2938430,2949300,2958765,2966369,2978618
"05000","Arkansas","5","SA51","53","...","Per capita disposable personal income (dollars) 2/",838,783,810,915,981,1015,1028,1131,1176,1194,1247,1335,1320,1424,1468,1537,1671,1757,1926,2040,2181,2399,2628,2898,3183,3679,3997,4366,4731,5185,5918,6356,6765,7649,7995,8561,9541,10108,10629,10951,11771,12574,13150,13777,14850,15331,15961,16650,17411,17954,18823,19447,20240,21234,21899,23252,24569,25336,26697,28057,29189,29013,29328,30876,33074,33042,34136,35187
"06000","California","8","SA51","51","...","Disposable personal income (thousands of dollars)",16328095,16930872,18884915,21407772,23483086,25383334,26392235,28848373,31709645,33987167,35836292,39020143,41109939,43662729,46960310,50222760,55300395,59054898,63820697,68358388,74052797,80923032,88719739,95658381,103197693,114161676,126809849,141903855,155756027,171632509,194227818,218676325,247890923,279007896,300419284,325913143,362208943,389407168,418781796,446718101,489752206,522530824,560852547,585651619,622619242,637640902,656989984,687213320,722521473,761138752,824538110,867741744,939410327,994789786,1049224007,1104308883,1173836569,1220877893,1303951574,1349817530,1390653187,1375344355,1404949511,1482184194,1587374297,1596258055,1668232072,1759162062
"06000","California","8","SA51","52","...","Population (persons) 1/",10064000,10337000,10677000,11134000,11635000,12251000,12746000,13133000,13713000,14264000,14880000,15467000,15870000,16497000,17072000,17668000,18151000,18585000,18858000,19176000,19394000,19711000,20023181,20345575,20584794,20867737,21172548,21536715,21934505,22350247,22838960,23255069,23800800,24285933,24820007,25360023,25844397,26441107,27102238,27777160,28464250,29218165,29959515,30470736,30974659,31274928,31484435,31696582,32018834,32486010,32987675,33499204,33987977,34479458,34871843,35253159,35574576,35827943,36021202,36250311,36604337,36961229,37336011,37701901,38062780,38431393,38802500,39151017
"06000","California","8","SA51","53","...","Per capita disposable personal income (dollars) 2/",1622,1638,1769,1923,2018,2072,2071,2197,2312,2383,2408,2523,2590,2647,2751,2843,3047,3178,3384,3565,3818,4105,4431,4702,5013,5471,5989,6589,7101,7679,8504,9403,10415,11488,12104,12851,14015,14727,15452,16082,17206,17884,18720,19220,20101,20388,20867,21681,22566,23430,24995,25903,27639,28852,30088,31325,32997,34076,36200,37236,37991,37210,37630,39313,41704,41535,42993,44933
"08000","Colorado","7","SA51","51","...","Disposable personal income (thousands of dollars)",1706932,1742194,1907826,2229155,2369643,2395991,2487957,2717047,2968282,3295732,3356561,3609123,3813206,4107606,4337727,4544807,4903234,5227231,5588015,6001546,6597145,7306887,8357617,9477511,10584903,12137924,13533806,15115858,16536081,18311808,21057272,24019456,27510527,31480626,34470143,37984687,41609586,43852406,45753907,47317665,50213401,53953530,56985167,60487800,65824339,71135276,76450400,83086977,88899807,94804101,104966095,113395175,125915757,134444020,138786779,143377566,150174261,158547436,168557551,176671510,187028041,186374960,189663251,201008502,213652534,216366967,229183071,239225226
"08000","Colorado","7","SA51","52","...","Population (persons) 1/",1263000,1295000,1325000,1326000,1365000,1431000,1493000,1546000,1625000,1664000,1667000,1710000,1769000,1844000,1899000,1936000,1970000,1985000,2007000,2053000,2120000,2166000,2223979,2303502,2404576,2495803,2541318,2586144,2632244,2696007,2766725,2849181,2908803,2977899,3061562,3133634,3169995,3208726,3237448,3260477,3262280,3275815,3307618,3387119,3495939,3613734,3724168,3826653,3919972,4018293,4116639,4226018,4326921,4425687,4490406,4528732,4575013,4631888,4720423,4803868,4889730,4972195,5048575,5119661,5191709,5272086,5355866,5457432
"08000","Colorado","7","SA51","53","...","Per capita disposable personal income (dollars) 2/",1351,1345,1440,1681,1736,1674,1666,1757,1827,1981,2014,2111,2156,2228,2284,2348,2489,2633,2784,2923,3112,3373,3758,4114,4402,4863,5326,5845,6282,6792,7611,8430,9458,10571,11259,12122,13126,13667,14133,14512,15392,16470,17228,17858,18829,19685,20528,21713,22679,23593,25498,26833,29101,30378,30907,31660,32825,34230,35708,36777,38249,37483,37568,39262,41153,41040,42791,43835
"09000","Connecticut","1","SA51","51","...","Disposable personal income (thousands of dollars)",3127814,3120784,3481317,3900173,4192305,4583649,4732791,5114012,5556616,5953327,5762963,6143872,6348259,6746183,7196565,7557406,8272736,8835001,9630695,10470254,10923500,12433537,13633197,14583013,15497669,16966011,18503102,20177245,21487618,23684295,26106241,29109391,32940380,36813024,39691985,43539011,49061730,52190281,55889815,60529051,67626388,73495566,75817450,76404957,81405350,83880890,86038477,90035430,92813552,97727395,103605752,108246705,116399750,121253244,126870483,131858624,141047130,146176008,157414742,165461855,170801513,171865262,177388827,183124937,192666314,187002657,194902674,199564634
"09000","Connecticut","1","SA51","52","...","Population (persons) 1/",2014000,2032000,2016000,2028000,2081000,2168000,2249000,2300000,2316000,2359000,2446000,2523000,2544000,2586000,2647000,2727000,2798000,2857000,2903000,2935000,2964000,3000000,3038782,3061448,3069617,3069140,3075784,3084726,3085984,3088729,3094839,3099907,3113174,3128837,3139014,3162355,3180014,3201131,3223741,3247290,3271954,3283404,3291967,3302895,3300712,3309175,3316121,3324144,3336685,3349348,3365352,3386401,3411777,3432835,3458749,3484336,3496094,3506956,3517460,3527270,3545579,3561807,3579345,3590537,3594362,3599341,3596677,3591346
"09000","Connecticut","1","SA51","53","...","Per capita disposable personal income (dollars) 2/",1553,1536,1727,1923,2015,2114,2104,2223,2399,2524,2356,2435,2495,2609,2719,2771,2957,3092,3317,3567,3685,4145,4486,4763,5049,5528,6016,6541,6963,7668,8435,9390,10581,11766,12645,13768,15428,16304,17337,18640,20669,22384,23031,23133,24663,25348,25946,27085,27816,29178,30786,31965,34117,35322,36681,37843,40344,41682,44752,46909,48173,48252,49559,51002,53602,51955,54190,55568
"10000","Delaware","2","SA51","51","...","Disposable personal income (thousands of dollars)",435656,481420,553910,595260,634145,684774,716885,815169,960967,962796,1004246,1042272,1096119,1138914,1194708,1290092,1397728,1533014,1619131,1731901,1875742,2030834,2179500,2409338,2638795,2911821,3164850,3463358,3718531,4006034,4398092,4785436,5369315,5863630,6408585,6952452,7710032,8412235,8930939,9697257,10656656,11848852,12425158,13275447,13905689,14426859,14908733,15802105,16774487,17308133,18787571,19810714,21637644,23224565,24761483,25770068,27515975,28601056,30744524,31595034,32985473,33568042,33930259,35231008,36738117,36889784,38594635,39953065
"10000","Delaware","2","SA51","52","...","Population (persons) 1/",312000,316000,321000,331000,341000,351000,368000,389000,408000,426000,433000,441000,449000,461000,469000,483000,497000,507000,516000,525000,534000,540000,550332,565207,573821,579078,583150,588756,592755,594821,598188,598830,594919,595974,599148,605459,611565,618279,627559,636946,647621,658274,669567,683080,694925,706378,717545,729734,740977,751487,763335,774990,786373,795699,806169,818003,830803,845150,859268,871749,883874,891730,899731,907829,916881,925240,935614,946108
"10000","Delaware","2","SA51","53","...","Per capita disposable personal income (dollars) 2/",1396,1523,1726,1798,1860,1951,1948,2096,2355,2260,2319,2363,2441,2471,2547,2671,2812,3024,3138,3299,3513,3761,3960,4263,4599,5028,5427,5883,6273,6735,7352,7991,9025,9839,10696,11483,12607,13606,14231,15225,16455,18000,18557,19435,20010,20424,20777,21655,22638,23032,24612,25563,27516,29188,30715,31504,33120,33841,35780,36243,37319,37644,37712,38808,40069,39871,41251,42229
"11000","District of Columbia","2","SA51","51","...","Disposable personal income (thousands of dollars)",1632778,1689982,1790171,1840925,1890377,1867970,1851862,1826556,1919532,1987674,2013821,2042146,2055996,2192944,2348054,2516685,2707323,2932108,3026064,3255802,3409750,3229368,3603343,4065027,4389514,4602819,5002459,5454483,5686368,6160867,6506364,6773856,7176812,7585671,8109370,8530391,9313346,9850482,10365732,10822465,12015182,12803611,13382376,14139508,15029931,15737455,15979099,16087022,16600286,17295580,18196537,18887927,20699705,21792386,22947339,23726364,25118259,26204757,28275470,29691738,33060851,32713308,33928131,36266469,37803134,38133639,39269091,40661122
"11000","District of Columbia","2","SA51","52","...","Population (persons) 1/",840000,807000,806000,808000,805000,810000,791000,785000,759000,763000,757000,761000,765000,778000,788000,798000,798000,797000,791000,791000,778000,762000,755087,750641,743775,733674,720755,710308,696305,681768,670046,655616,638284,636893,634174,632433,633382,634549,638269,636930,630432,624168,605321,600870,597565,595301,589239,580517,572377,567736,565230,570213,572046,574504,573158,568502,567754,567136,570681,574404,580236,592228,605210,620427,635040,649111,658893,672353
"11000","District of Columbia","2","SA51","53","...","Per capita disposable personal income (dollars) 2/",1944,2094,2221,2278,2348,2306,2341,2327,2529,2605,2660,2684,2688,2819,2980,3154,3393,3679,3826,4116,4383,4238,4772,5415,5902,6274,6941,7679,8166,9037,9710,10332,11244,11910,12787,13488,14704,15524,16240,16992,19059,20513,22108,23532,25152,26436,27118,27712,29002,30464,32193,33124,36185,37933,40037,41735,44241,46205,49547,51691,56978,55238,56060,58454,59529,58747,59599,60476
"12000","Florida","5","SA51","51","...","Disposable personal income (thousands of dollars)",2942337,3095135,3520448,3899139,4377369,4893982,5193561,5933568,6824376,7549472,8277135,9087567,9510181,10083028,10870348,11685492,12893240,14083152,15444452,16933482,19258538,22248065,25470980,28778116,32586991,38088056,43014388,47920823,51834556,57861146,66429294,75727821,88634482,102255448,109749781,124983891,140274390,152517781,164384819,177608308,195612899,218202546,233392282,244248218,258945731,274765134,288729826,309609532,326043226,342266975,368036380,386009055,415459056,439893386,465635963,495105006,537615621,578109189,629289124,654865015,667891328,645111289,671489042,704858458,724797674,727713109,761637987,795644571
"12000","Florida","5","SA51","52","...","Population (persons) 1/",2578000,2668000,2810000,2980000,3157000,3310000,3505000,3747000,4047000,4372000,4630000,4808000,5004000,5243000,5458000,5628000,5781000,5954000,6104000,6242000,6433000,6641000,6845353,7163026,7520324,7927099,8317034,8541660,8695356,8888958,9131554,9470585,9839835,10192775,10471405,10749849,11039925,11351120,11667503,11997282,12306400,12637718,13033307,13369798,13650553,13927185,14239444,14537875,14853360,15186304,15486559,15759421,16047515,16356966,16689370,17004085,17415318,17842038,18166990,18367842,18527305,18652644,18852220,19107900,19355257,19600311,19893297,20276023
"12000","Florida","5","SA51","53","...","Per capita disposable personal income (dollars) 2/",1141,1160,1253,1308,1387,1479,1482,1584,1686,1727,1788,1890,1901,1923,1992,2076,2230,2365,2530,2713,2994,3350,3721,4018,4333,4805,5172,5610,5961,6509,7275,7996,9008,10032,10481,11627,12706,13436,14089,14804,15895,17266,17907,18269,18970,19729,20277,21297,21951,22538,23765,24494,25889,26893,27900,29117,30870,32402,34639,35653,36049,34586,35619,36888,37447,37128,38286,39241
"13000","Georgia","5","SA51","51","...","Disposable personal income (thousands of dollars)",3048038,3080560,3562973,4078257,4349731,4515538,4521434,4977742,5317198,5481685,5723536,6080316,6309543,6596806,7048593,7660052,8355245,9199231,10084010,10997017,11992452,13110761,14480849,16158247,17882869,20333047,22287580,24551030,27005999,29672594,33451631,36991503,41359093,46586485,50767296,55634630,63325652,68971794,75387188,80694774,88442660,94951879,101542574,107164979,116469916,123218455,132617567,142768261,153230563,162136534,177111341,188560493,203602068,214827772,225608874,235649914,248587562,262460028,279096338,294149056,303666769,301519874,303872979,323111429,332877889,335211582,350256353,366554276
"13000","Georgia","5","SA51","52","...","Population (persons) 1/",3259000,3325000,3458000,3531000,3584000,3558000,3602000,3636000,3701000,3766000,3804000,3868000,3956000,4015000,4086000,4172000,4258000,4332000,4379000,4408000,4482000,4551000,4605421,4710272,4807151,4906940,4994870,5058535,5126155,5211771,5286148,5391265,5486174,5568346,5649788,5728248,5834943,5962639,6084645,6208479,6316139,6411117,6512602,6653005,6817203,6978240,7157165,7328413,7501069,7685099,7863536,8045965,8227303,8377038,8508256,8622793,8769252,8925922,9155813,9349988,9504843,9620846,9714464,9813201,9919000,9994759,10097343,10216251
"13000","Georgia","5","SA51","53","...","Per capita disposable personal income (dollars) 2/",935,926,1030,1155,1214,1269,1255,1369,1437,1456,1505,1572,1595,1643,1725,1836,1962,2124,2303,2495,2676,2881,3144,3430,3720,4144,4462,4853,5268,5693,6328,6861,7539,8366,8986,9712,10853,11567,12390,12998,14003,14811,15592,16108,17085,17658,18529,19481,20428,21098,22523,23435,24747,25645,26516,27329,28348,29404,30483,31460,31949,31340,31280,32926,33560,33539,34688,35880
"15000","Hawaii","8","SA51","51","...","Disposable personal income (thousands of dollars)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",1416342,1533866,1668949,1785451,1966964,2169947,2319194,2507847,2797582,3163814,3691826,4066423,4424629,4907918,5603687,6239433,6658946,7170415,7905535,8824888,10068724,10887277,11696709,12900510,13847877,14685977,15563124,16366034,17959950,19869271,21675814,22804021,25096368,26063057,26659846,27394270,27233184,28112750,28411809,29216967,30761712,31876372,33984419,35834323,38754176,40981437,44033447,46739482,49545375,50559071,51952393,53736271,56291919,56078143,58640307,61059599
"15000","Hawaii","8","SA51","52","...","Population (persons) 1/","(NA)","(NA)",499000,502000,495000,499000,504000,529000,548000,573000,605000,622000,642000,659000,684000,682000,700000,704000,710000,723000,734000,743000,762920,791580,818104,841851,858121,875052,892335,915749,928816,950050,967710,978195,993780,1012717,1027922,1039698,1051762,1067917,1079827,1094588,1113491,1136754,1158613,1172838,1187536,1196854,1203755,1211640,1215233,1210300,1213519,1225948,1239613,1251154,1273569,1292729,1309731,1315675,1332213,1346717,1363950,1378251,1392766,1408987,1419561,1431806
"15000","Hawaii","8","SA51","53","...","Per capita disposable personal income (dollars) 2/","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",2206,2328,2440,2618,2810,3082,3266,3469,3811,4258,4839,5137,5408,5830,6530,7130,7462,7830,8511,9289,10405,11130,11770,12739,13472,14125,14797,15325,16632,18152,19467,20061,21661,22222,22450,22889,22624,23202,23380,24140,25349,26001,27415,28641,30430,31701,33620,35525,37190,37542,38090,38989,40417,39800,41309,42645
"16000","Idaho","7","SA51","51","...","Disposable personal income (thousands of dollars)",689809,684967,741924,819019,890716,860570,876662,927298,1004086,1075804,1085677,1146590,1167352,1245871,1335562,1360592,1423106,1626499,1640319,1737176,1846108,2121688,2362096,2582133,2968315,3405993,3972122,4310584,4819709,5251802,6031305,6600096,7433312,8120315,8557390,9341306,10018923,10488195,10788180,11299839,12217522,13338890,14392821,15151166,16570374,18216816,19486422,20920249,22203645,23099614,25132134,26674270,28761308,30372265,32077990,33619303,36616551,38252274,41828062,44160983,45274905,44917136,46328959,48453730,50642737,52003682,54179635,55688944
"16000","Idaho","7","SA51","52","...","Population (persons) 1/",551000,570000,590000,589000,587000,596000,600000,618000,628000,642000,646000,657000,671000,684000,692000,683000,680000,686000,689000,688000,695000,707000,717255,738749,763229,782061,807973,831981,856979,883446,910962,932636,947983,962204,973719,981866,990841,994052,990222,984997,985661,994422,1012384,1041316,1071685,1108768,1145140,1177322,1203083,1228520,1252330,1275674,1299430,1319962,1340372,1363380,1391802,1428241,1468669,1505105,1534320,1554439,1570639,1583780,1595590,1612843,1634464,1655167
"16000","Idaho","7","SA51","53","...","Per capita disposable personal income (dollars) 2/",1252,1202,1257,1391,1517,1444,1461,1500,1599,1676,1681,1745,1740,1821,1930,1992,2093,2371,2381,2525,2656,3001,3293,3495,3889,4355,4916,5181,5624,5945,6621,7077,7841,8439,8788,9514,10112,10551,10895,11472,12395,13414,14217,14550,15462,16430,17017,17769,18456,18803,20068,20910,22134,23010,23932,24659,26309,26783,28480,29341,29508,28896,29497,30594,31739,32243,33148,33646
"17000","Illinois","3","SA51","51","...","Disposable personal income (thousands of dollars)",13992219,13398699,14696564,15891440,16524568,17734981,18120771,19427214,20922155,21836490,22190810,23533117,24114591,25146500,26439857,27555425,29857152,32300274,34739181,36796294,38979215,41651076,44522037,48555579,52000933,58304164,63476446,70336556,75533696,82793028,91100813,99170328,107625854,119029136,128157667,134657135,149092266,156371795,164767468,172573842,187136664,197941145,210266564,216039719,235520022,242638099,254593880,269793172,285238116,298874911,314438168,326251469,350298576,362882427,375656869,387553661,406776255,420914252,447406752,469597889,486823759,479956130,486086153,502637034,522121101,521973551,532411849,547692621
"17000","Illinois","3","SA51","52","...","Population (persons) 1/",8552000,8670000,8738000,8790000,8956000,9065000,9252000,9435000,9530000,9668000,9886000,9986000,10086000,10130000,10280000,10402000,10580000,10693000,10836000,10947000,10995000,11039000,11124681,11205816,11258111,11260248,11273745,11306351,11360274,11406312,11434421,11422782,11434702,11443461,11423413,11408817,11412128,11399803,11387256,11391176,11390186,11409782,11453316,11568964,11694184,11809579,11912585,12008437,12101997,12185715,12271847,12359020,12434161,12488445,12525556,12556006,12589773,12609903,12643955,12695866,12747038,12796778,12840097,12858725,12873763,12890552,12880580,12861699
"17000","Illinois","3","SA51","53","...","Per capita disposable personal income (dollars) 2/",1636,1545,1682,1808,1845,1956,1959,2059,2195,2259,2245,2357,2391,2482,2572,2649,2822,3021,3206,3361,3545,3773,4002,4333,4619,5178,5630,6221,6649,7259,7967,8682,9412,10401,11219,11803,13064,13717,14469,15150,16430,17348,18359,18674,20140,20546,21372,22467,23570,24527,25623,26398,28172,29057,29991,30866,32310,33380,35385,36988,38191,37506,37857,39089,40557,40493,41334,42583
"18000","Indiana","3","SA51","51","...","Disposable personal income (thousands of dollars)",5181118,4973942,5621879,6382212,6641141,7322346,7008221,7539316,8092990,8338189,8427298,8912073,9301579,9645402,10261014,10712293,11519731,12716677,13599696,14202675,15287279,16626504,17500611,19233744,20821564,24105687,25375536,27909994,30667625,33816043,37567296,41218357,44651602,48737889,50862164,53690471,59877153,62973934,66601555,70445323,75431531,81827965,86449889,89183457,97094018,102134606,108092569,112785154,118802933,124412033,134069963,139835911,150059749,153930443,158106837,163916894,172635522,175911282,185866932,191709167,200784308,197904977,202652108,212881096,224211644,225290880,233486127,241453134
"18000","Indiana","3","SA51","52","...","Population (persons) 1/",3877000,3958000,3967000,4096000,4148000,4182000,4264000,4363000,4458000,4529000,4583000,4613000,4674000,4730000,4736000,4799000,4856000,4922000,4999000,5053000,5093000,5143000,5203700,5249921,5296129,5329122,5349886,5351080,5371552,5405075,5446403,5474909,5490721,5480440,5467918,5450396,5458322,5459214,5454103,5473023,5491733,5523679,5557798,5616388,5674547,5739019,5793526,5851459,5906013,5955267,5998880,6044969,6091866,6127760,6155967,6196638,6233007,6278616,6332669,6379599,6424806,6459325,6490308,6516560,6537632,6570713,6596855,6620432
"18000","Indiana","3","SA51","53","...","Per capita disposable personal income (dollars) 2/",1336,1257,1417,1558,1601,1751,1644,1728,1815,1841,1839,1932,1990,2039,2167,2232,2372,2584,2720,2811,3002,3233,3363,3664,3931,4523,4743,5216,5709,6256,6898,7529,8132,8893,9302,9851,10970,11535,12211,12871,13735,14814,15555,15879,17110,17797,18657,19275,20116,20891,22349,23133,24633,25120,25684,26453,27697,28018,29350,30050,31251,30639,31224,32668,34296,34287,35394,36471
